"ADMYR","STFIPS","SUB1","Proportion_of_cases"
"2000","Illinois","Alcohol",0.189507351727889
"2000","Illinois","Cocaine",0.101209088424904
"2000","Illinois","Methamphetamine",0.0032078067349773
"2000","Illinois","Heroin",0.0722751492645008
"2000","Illinois","Marijuana",0.0885052185762098
"2000","Indiana","Cocaine",0.0723245524054701
"2000","Indiana","Alcohol",0.292728301902742
"2000","Indiana","Methamphetamine",0.00794936078360865
"2000","Indiana","Heroin",0.0167115396432509
"2000","Indiana","Marijuana",0.110234387471677
"2000","Iowa","Alcohol",0.480210290114069
"2000","Iowa","Heroin",0.00731490991993222
"2000","Iowa","Marijuana",0.201668002653687
"2000","Iowa","Methamphetamine",0.112399009371551
"2000","Iowa","Cocaine",0.0557423228157797
"2000","Kansas","Alcohol",0.250254255838931
"2000","Kansas","Methamphetamine",0.0354112695543113
"2000","Kansas","Cocaine",0.0948320376609267
"2000","Kansas","Marijuana",0.12220359689331
"2000","Kansas","Heroin",0.00306970757746352
"2000","Michigan","Marijuana",0.0884100960645126
"2000","Michigan","Alcohol",0.292131679736358
"2000","Michigan","Cocaine",0.0841411344463404
"2000","Michigan","Heroin",0.0628359454888268
"2000","Michigan","Methamphetamine",0.000871620933640725
"2000","Minnesota","Cocaine",0.0456597625692346
"2000","Minnesota","Marijuana",0.135819293739673
"2000","Minnesota","Alcohol",0.43563773468378
"2000","Minnesota","Heroin",0.0164799143044456
"2000","Minnesota","Methamphetamine",0.0228798810246187
"2000","Missouri","Cocaine",0.134887514737628
"2000","Missouri","Alcohol",0.329527291065759
"2000","Missouri","Heroin",0.0327571378049969
"2000","Missouri","Marijuana",0.178587192928264
"2000","Missouri","Methamphetamine",0.0584483195799756
"2000","Nebraska","Cocaine",0.0339703152595465
"2000","Nebraska","Methamphetamine",0.0424628940744331
"2000","Nebraska","Alcohol",0.249924462266664
"2000","Nebraska","Marijuana",0.0389387627294802
"2000","Nebraska","Heroin",0.000635499094991516
"2000","North Dakota","Alcohol",0.214468022030452
"2000","North Dakota","Marijuana",0.0507991211288831
"2000","North Dakota","Methamphetamine",0.0114259421384114
"2000","North Dakota","Cocaine",0.00154404623492046
"2000","North Dakota","Heroin",0.000926427740952275
"2000","Ohio","Methamphetamine",0.000426252972788271
"2000","Ohio","Cocaine",0.0711146541335534
"2000","Ohio","Marijuana",0.0830149412105811
"2000","Ohio","Alcohol",0.185011188270632
"2000","Ohio","Heroin",0.0225305142759515
"2000","South Dakota","Cocaine",0.00915303083002299
"2000","South Dakota","Alcohol",0.853454746108001
"2000","South Dakota","Methamphetamine",0.0125527279954601
"2000","South Dakota","Marijuana",0.120035461456587
"2000","South Dakota","Heroin",0.000915303083002299
"2000","Wisconsin","Heroin",0.00479134962367634
"2000","Wisconsin","Cocaine",0.0280293952985066
"2000","Wisconsin","Methamphetamine",0.000847700318035045
"2000","Wisconsin","Marijuana",0.0342581498092859
"2000","Wisconsin","Alcohol",0.244524685217544
"2000","Maine","Marijuana",0.102228456148494
"2000","Maine","Cocaine",0.0209579978436549
"2000","Maine","Methamphetamine",0.00155244428471518
"2000","Maine","Heroin",0.0383453738324649
"2000","Maine","Alcohol",0.56516734185056
"2000","Massachusetts","Methamphetamine",0.00062126310243883
"2000","Massachusetts","Alcohol",0.441283181662301
"2000","Massachusetts","Cocaine",0.0763066405570493
"2000","Massachusetts","Marijuana",0.0603867735570543
"2000","Massachusetts","Heroin",0.451549554430103
"2000","New Hampshire","Cocaine",0.0296495676837294
"2000","New Hampshire","Alcohol",0.291700598505694
"2000","New Hampshire","Methamphetamine",0.00103893363851343
"2000","New Hampshire","Marijuana",0.075522483722707
"2000","New Hampshire","Heroin",0.0322868607661097
"2000","New Jersey","Alcohol",0.181179915736215
"2000","New Jersey","Heroin",0.278675203639824
"2000","New Jersey","Methamphetamine",0.000527571904240306
"2000","New Jersey","Marijuana",0.063730686032229
"2000","New Jersey","Cocaine",0.0660168309506037
"2000","New York","Alcohol",0.844182507480842
"2000","New York","Marijuana",0.166742680567271
"2000","New York","Methamphetamine",0.000949849355449356
"2000","New York","Cocaine",0.213285298984289
"2000","New York","Heroin",0.276878491896669
"2000","Pennsylvania","Methamphetamine",0.00122679293163882
"2000","Pennsylvania","Marijuana",0.0704921675324569
"2000","Pennsylvania","Alcohol",0.216504739415864
"2000","Pennsylvania","Cocaine",0.0852863217672856
"2000","Pennsylvania","Heroin",0.0713638361944108
"2000","Rhode Island","Marijuana",0.115820258971846
"2000","Rhode Island","Cocaine",0.118260556162501
"2000","Rhode Island","Alcohol",0.382657371011522
"2000","Rhode Island","Heroin",0.43118174207185
"2000","Rhode Island","Methamphetamine",0.000750860674047627
"2000","Vermont","Marijuana",0.164537469595455
"2000","Vermont","Cocaine",0.0384569825385827
"2000","Vermont","Methamphetamine",0.00081132874553972
"2000","Vermont","Alcohol",0.765083007043956
"2000","Vermont","Heroin",0.0649062996431776
"2000","Alabama","Cocaine",0.0822081221891994
"2000","Alabama","Marijuana",0.104391619805142
"2000","Alabama","Methamphetamine",0.0086194915435438
"2000","Alabama","Alcohol",0.157890376103829
"2000","Alabama","Heroin",0.00391997548233516
"2000","Arkansas","Marijuana",0.096909777919707
"2000","Arkansas","Alcohol",0.208992858210842
"2000","Arkansas","Cocaine",0.0720639567616259
"2000","Arkansas","Heroin",0.00214124461689257
"2000","Delaware","Marijuana",0.14004458818727
"2000","Delaware","Methamphetamine",0.000879203692655509
"2000","Delaware","Cocaine",0.141300593462493
"2000","Delaware","Alcohol",0.28913241435614
"2000","Delaware","Heroin",0.242785819700443
"2000","District of Columbia","Alcohol",0.000344697433210564
"2000","District of Columbia","Heroin",0.00275757946568451
"2000","District of Columbia","Marijuana",0.000172348716605282
"2000","Florida","Methamphetamine",0.00165160521853017
"2000","Florida","Heroin",0.0224075991588646
"2000","Florida","Marijuana",0.0895194679267511
"2000","Florida","Cocaine",0.0970318065886476
"2000","Florida","Alcohol",0.170176964569001
"2000","Georgia","Methamphetamine",0.00454845129444953
"2000","Georgia","Heroin",0.00486130773269209
"2000","Georgia","Alcohol",0.132362339256468
"2000","Georgia","Marijuana",0.0377834313877554
"2000","Georgia","Cocaine",0.0666985860453274
"2000","Kentucky","Heroin",0.00190920552817804
"2000","Kentucky","Marijuana",0.0433487562872219
"2000","Kentucky","Methamphetamine",0.00445481289908209
"2000","Kentucky","Alcohol",0.126056518847652
"2000","Kentucky","Cocaine",0.0210257378039094
"2000","Louisiana","Alcohol",0.200981491058488
"2000","Louisiana","Heroin",0.0123185784138554
"2000","Louisiana","Methamphetamine",0.00350691061151199
"2000","Louisiana","Cocaine",0.177831441895152
"2000","Louisiana","Marijuana",0.125050217628219
"2000","Maryland","Alcohol",0.409874263884314
"2000","Maryland","Heroin",0.295393166261979
"2000","Maryland","Methamphetamine",0.000575561794727928
"2000","Maryland","Cocaine",0.132286380239887
"2000","Maryland","Marijuana",0.141996664712232
"2000","Mississippi","Alcohol",0.0461989499857984
"2000","Mississippi","Heroin",0.00118637786972594
"2000","Mississippi","Methamphetamine",0.00300083814107149
"2000","Mississippi","Cocaine",0.0267283955355903
"2000","Mississippi","Marijuana",0.0148297233715742
"2000","North Carolina","Heroin",0.00979566776478677
"2000","North Carolina","Marijuana",0.0632243537709704
"2000","North Carolina","Methamphetamine",0.00104209231540285
"2000","North Carolina","Alcohol",0.169517769942061
"2000","North Carolina","Cocaine",0.0652962784921831
"2000","Oklahoma","Marijuana",0.0600545520989219
"2000","Oklahoma","Alcohol",0.000166741005364892
"2000","Oklahoma","Heroin",0.00383504312339251
"2000","Oklahoma","Methamphetamine",0.055524754786509
"2000","Oklahoma","Cocaine",0.0365440703424721
"2000","South Carolina","Alcohol",0.399630245886485
"2000","South Carolina","Methamphetamine",0.00162691809946386
"2000","South Carolina","Marijuana",0.0983545941948604
"2000","South Carolina","Heroin",0.00847969433659949
"2000","South Carolina","Cocaine",0.0848215936402292
"2000","Tennessee","Cocaine",0.0288829694056017
"2000","Tennessee","Alcohol",0.0503279659438162
"2000","Tennessee","Marijuana",0.0171872784248737
"2000","Texas","Cocaine",0.0374308592480594
"2000","Texas","Marijuana",0.0259416649510856
"2000","Texas","Alcohol",2.36305929596335e-05
"2000","Texas","Heroin",0.0168344344244429
"2000","Virginia","Marijuana",0.0366136226808078
"2000","Virginia","Cocaine",0.0382778782572082
"2000","Virginia","Heroin",0.0123709664512427
"2000","Virginia","Methamphetamine",0.000776652602320166
"2000","Virginia","Alcohol",0.0893566556562291
"2000","Alaska","Methamphetamine",0.00272796298457337
"2000","Alaska","Cocaine",0.0318262348200226
"2000","Alaska","Alcohol",0.277494456930769
"2000","Alaska","Marijuana",0.0368275002917405
"2000","Alaska","Heroin",0.00242485598628744
"2000","Arizona","Methamphetamine",0.0113103918659782
"2000","Arizona","Cocaine",0.0102232209783546
"2000","Arizona","Marijuana",0.0144765386615133
"2000","Arizona","Heroin",0.00673283023387907
"2000","Arizona","Alcohol",0.0795160601842545
"2000","California","Cocaine",0.0587579688413967
"2000","California","Methamphetamine",0.0868106789996011
"2000","California","Marijuana",0.0503984219747684
"2000","California","Heroin",0.16032416669212
"2000","California","Alcohol",0.12909069488274
"2000","Colorado","Marijuana",0.110537315763575
"2000","Colorado","Methamphetamine",0.0349316075893514
"2000","Colorado","Heroin",0.0403109389725069
"2000","Colorado","Cocaine",0.05731144195134
"2000","Colorado","Alcohol",0.884162340503959
"2000","Hawaii","Methamphetamine",0.0230815944115234
"2000","Hawaii","Heroin",0.0179451269227618
"2000","Hawaii","Cocaine",0.012613603706579
"2000","Hawaii","Alcohol",0.0891404674315452
"2000","Hawaii","Marijuana",0.0211310371373101
"2000","Idaho","Heroin",0.00728714145935635
"2000","Idaho","Methamphetamine",0.0931387767773983
"2000","Idaho","Marijuana",0.101564534089779
"2000","Idaho","Alcohol",0.224383230769348
"2000","Idaho","Cocaine",0.00956437316540521
"2000","Montana","Alcohol",0.469980947896639
"2000","Montana","Methamphetamine",0.0816363010145136
"2000","Montana","Heroin",0.00817452947408347
"2000","Montana","Cocaine",0.0209267954536537
"2000","Montana","Marijuana",0.149103417607283
"2000","Nevada","Alcohol",0.192422732286736
"2000","Nevada","Methamphetamine",0.103827998547279
"2000","Nevada","Marijuana",0.0635444760554839
"2000","Nevada","Cocaine",0.06335103777221
"2000","Nevada","Heroin",0.0337549804312997
"2000","New Mexico","Methamphetamine",0.00281369751236674
"2000","New Mexico","Heroin",0.0249445106384821
"2000","New Mexico","Marijuana",0.0203451973971134
"2000","New Mexico","Alcohol",0.132297892648782
"2000","New Mexico","Cocaine",0.0154753363180171
"2000","Oregon","Marijuana",0.196049629848506
"2000","Oregon","Alcohol",0.741669385229125
"2000","Oregon","Heroin",0.131060330451942
"2000","Oregon","Cocaine",0.0412196695252849
"2000","Utah","Alcohol",0.244109409555969
"2000","Utah","Cocaine",0.0428686373049477
"2000","Utah","Heroin",0.0481447772809413
"2000","Utah","Methamphetamine",0.0991034958824124
"2000","Utah","Marijuana",0.112997331152529
"2000","Washington","Marijuana",0.110197932503479
"2000","Washington","Cocaine",0.0293357441423779
"2000","Washington","Alcohol",0.220658671225479
"2000","Washington","Heroin",0.0432808991126348
"2000","Washington","Methamphetamine",0.0404393068748793
"2000","Wyoming","Marijuana",0.143176805357532
"2000","Wyoming","Cocaine",0.0179970844723155
"2000","Wyoming","Alcohol",0.531713862354299
"2000","Wyoming","Heroin",0.0043992873154549
"2000","Wyoming","Methamphetamine",0.0685888886000468
"2001","Illinois","Alcohol",0.208386316817152
